iter	Passed	Remaining
143	272	1621
144	273	1613
145	275	1614
146	276	1607
147	277	1599
148	278	1591
149	279	1584
150	280	1576
151	281	1569
152	282	1561
153	283	1554
154	283	1547
155	284	1541
156	285	1533
157	286	1527
158	287	1521
159	288	1515
160	289	1508
161	291	1505
162	291	1499
163	292	1492
164	293	1486
165	294	1480
166	295	1473
167	296	1467
168	297	1461
169	298	1455
170	298	1449
171	299	1442
172	300	1437
173	301	1432
174	302	1427
175	303	1422
176	305	1420
177	306	1414
178	307	1409
179	308	1403
180	309	1398
181	309	1392
182	310	1387
183	311	1381
184	312	1376
185	313	1371
186	314	1366
187	315	1361
188	316	1356
189	317	1351
190	317	1346
191	318	1341
192	320	1338
193	321	1334
194	322	1329
195	322	1324
196	323	1320
197	324	1315
198	325	1310
199	326	1305
200	327	1300
201	328	1296
202	328	1291
203	330	1288
204	331	1284
205	332	1280
206	333	1276
207	335	1275
208	336	1272
209	337	1267
210	337	1263
211	338	1259
212	339	1254
213	340	1250
214	341	1246
215	342	1241
216	343	1238
217	344	1234
218	345	1230
219	345	1226
220	346	1222
221	347	1219
222	348	1215
223	350	1213
224	351	1210
225	352	1206
226	353	1202
227	353	1198
228	354	1194
229	355	1190
230	356	1186
231	357	1183
232	358	1179
233	359	1175
234	360	1172
235	361	1169
236	362	1165
237	362	1161
238	363	1157
239	366	1159
240	367	1156
241	368	1153
242	369	1150
243	370	1146
244	371	1145
245	372	1142
246	373	1138
247	374	1135
248	375	1132
249	376	1129
250	377	1127
251	378	1123
252	380	1124
253	381	1121
254	382	1118
255	384	1116
256	385	1113
257	386	1110
258	386	1107
259	387	1104
260	389	1101
261	390	1098
262	390	1095
263	391	1091
264	392	1088
265	393	1085
266	394	1084
267	395	1081
268	396	1077
269	397	1074
270	398	1072
271	399	1069
272	400	1065
273	401	1062
274	401	1059
275	402	1056
276	403	1053
277	404	1050
278	405	1047
279	406	1044
280	406	1041
281	407	1038
282	409	1036
283	410	1034
284	411	1031
285	412	1028
286	413	1026
287	414	1024
288	415	1021
289	415	1018
290	416	1015
291	417	1012
292	418	1009
293	419	1006
294	420	1003
295	420	1001
296	421	998
297	422	995
298	423	992
299	424	990
300	425	988
301	426	985
302	427	983
303	428	980
304	429	977
305	429	975
306	430	972
307	431	969
308	432	966
309	433	964
310	433	961
311	434	958
312	435	955
313	436	953
314	437	950
315	438	948
316	439	946
317	440	944
318	441	942
319	442	940
320	443	937
321	444	935
322	444	932
323	445	929
324	446	927
325	447	925
326	448	922
327	449	920
328	449	917
329	450	914
330	451	912
331	452	909
332	453	907
333	454	905
334	455	903
335	456	902
336	458	901
337	458	898
338	459	896
339	460	894
340	461	891
341	462	889
342	462	886
343	463	884
344	464	881
345	465	879
346	466	877
347	467	875
348	468	873
349	470	873
350	470	870
351	471	868
352	472	866
353	473	863
354	474	861
355	475	859
356	475	857
357	476	855
358	477	852
359	478	850
360	479	848
361	480	846
362	480	843
363	482	842
364	483	840
365	485	840
366	486	838
367	487	836
368	488	834
369	488	832
370	489	830
371	490	828
372	491	825
373	492	823
374	492	821
375	493	819
376	494	817
377	495	815
378	496	813
379	497	811
380	498	809
381	499	808
382	500	806
383	501	804
384	502	802
385	502	799
386	503	797
387	504	795
388	505	793
389	506	791
390	507	789
391	507	787
392	508	785
393	509	783
394	510	782
395	511	780
396	512	778
397	514	777
398	515	776
399	516	774
400	517	772
401	517	770
402	518	768
403	519	766
404	520	764
405	521	762
406	521	760
407	522	758
408	523	756
409	524	754
410	525	752
411	526	750
412	526	748
413	527	746
414	528	745
415	530	744
416	531	742
417	531	740
418	532	738
419	533	737
420	534	735
421	535	733
422	536	731
423	537	729
424	538	728
425	539	726
426	539	724
427	540	722
428	541	720
429	542	718
430	543	717
431	545	716
432	545	714
433	546	712
434	547	711
435	548	709
436	549	707
437	549	705
438	550	703
439	551	701
440	552	700
441	553	699
442	554	697
443	555	695
444	556	693
445	556	691
446	557	690
447	559	689
448	560	687
449	561	685
450	561	684
451	562	682
452	563	680
453	564	678
454	565	676
455	566	675
456	567	673
457	567	672
458	568	670
459	569	668
460	570	667
461	571	665
462	572	663
463	573	662
464	574	661
465	575	659
466	576	658
467	577	656
468	578	654
469	578	652
470	580	651
471	581	650
472	582	649
473	583	647
474	584	646
475	585	644
476	586	642
477	586	640
478	587	639
479	588	637
480	590	636
481	591	635
